time,temperature,apparent_temperature,humidity,precipitation,weather_code,weather_description,wind_speed,wind_direction,wind_gusts,surface_pressure,cloud_cover
2026-09-09 00:00:00,26.9,33.3,93,0.0,2,局部多云,5.3,123,9.7,1005.8,62
2026-09-09 01:00:00,26.7,32.1,91,0.0,2,局部多云,9.1,126,17.3,1006.0,51
2026-09-09 02:00:00,25.7,31.7,94,0.5,53,中等毛毛雨,4.4,125,17.3,1006.0,96
2026-09-09 03:00:00,23.1,27.1,99,5.1,63,中雨,10.4,32,26.3,1006.3,89
2026-09-09 04:00:00,23.7,28.6,95,0.5,53,中等毛毛雨,3.8,177,18.0,1005.3,32
2026-09-09 05:00:00,23.9,29.2,95,0.0,2,局部多云,2.1,340,6.1,1005.6,51
2026-09-09 06:00:00,24.0,27.4,96,0.1,51,小毛毛雨,16.2,23,27.7,1006.4,71
2026-09-09 07:00:00,24.4,29.5,96,0.1,51,小毛毛雨,6.4,11,31.3,1006.7,49
2026-09-09 08:00:00,25.5,30.8,92,0.0,0,晴朗,6.6,77,16.6,1007.1,16
2026-09-09 09:00:00,27.5,32.7,81,0.0,0,晴朗,5.6,40,18.7,1007.8,14
2026-09-09 10:00:00,28.9,34.3,74,0.1,51,小毛毛雨,6.1,47,22.3,1008.1,38
2026-09-09 11:00:00,29.7,35.5,68,0.2,51,小毛毛雨,7.2,77,25.6,1007.9,11
2026-09-09 12:00:00,30.1,36.3,66,0.1,51,小毛毛雨,7.9,86,25.6,1007.8,20
2026-09-09 13:00:00,30.1,36.1,65,0.1,51,小毛毛雨,9.3,117,25.9,1007.4,16
2026-09-09 14:00:00,30.2,34.2,58,0.6,53,中等毛毛雨,14.2,120,31.3,1006.6,52
2026-09-09 15:00:00,29.9,33.4,62,0.3,51,小毛毛雨,15.4,104,36.7,1006.1,34
2026-09-09 16:00:00,29.7,32.3,61,0.0,0,晴朗,13.6,102,37.1,1005.6,16
2026-09-09 17:00:00,29.3,31.9,62,0.0,0,晴朗,12.7,105,32.4,1005.5,6
2026-09-09 18:00:00,28.4,31.5,66,0.0,0,晴朗,10.6,99,28.8,1005.9,7
2026-09-09 19:00:00,27.6,31.1,70,0.0,0,晴朗,9.0,92,21.6,1006.6,7
2026-09-09 20:00:00,27.8,30.8,70,0.0,0,晴朗,12.8,96,20.2,1007.1,10
2026-09-09 21:00:00,27.6,31.1,73,0.0,0,晴朗,11.1,97,25.2,1007.9,5
2026-09-09 22:00:00,27.5,31.2,75,0.0,0,晴朗,11.4,105,22.0,1008.6,9
2026-09-09 23:00:00,27.6,31.0,73,0.0,0,晴朗,12.3,104,24.8,1008.8,10
